Daily Gross Short Sales reported for 08-Jan-2021, ASX Limited (ASX) & Chi-X Australia (CHI-X)

No responsibility is accepted for any inaccuracies contained in the matter published.
Securities that have had no short sales actively reported for the date shown are excluded from this report.

ASX     Company Name                      Product/      Reported Gross         Issued              % of issued capital
CCL     COCA-COLA AMATIL LIMITED          FPO                  178,305         723,999,699         .02
CCP     CREDIT CORP GROUP LIMITED         FPO                   19,257          67,315,767         .02
CCR     CREDIT CLEAR LIMITED              FPO                    1,228         158,377,970         .00
CCX     CITY CHIC COLLECTIVE LIMITED      FPO                   37,813         228,663,238         .01
CCZ     CASTILLO COPPER LIMITED           FPO                  461,264       1,014,126,222         .04
CDA     CODAN LIMITED                     FPO                   15,818         180,506,054         .00
CDD     CARDNO LIMITED                    FPO                   99,787         401,282,243         .02
CDP     CARINDALE PROPERTY TRUST          UNIT                   2,530          70,000,000         .00
CEN     CONTACT ENERGY LIMITED            FPO NZX                1,467         185,629,586         .00
CGB     CANN GLOBAL LIMITED               FPO                1,387,417       5,136,338,617         .02
CGC     COSTA GROUP HOLDINGS LIMITED      FPO                  148,316         400,830,387         .03
CGF     CHALLENGER LIMITED                FPO                  465,794         675,614,730         .06
CGS     COGSTATE LTD                      FPO                    1,590         170,238,331         .00
CHC     CHARTER HALL GROUP                STP FORUS            178,602         465,777,131         .03
CHK     COHIBA MINERALS LIMITED           FPO                  825,000       1,364,917,696         .06
CHN     CHALICE MINING LIMITED            FPO                  119,840         337,824,147         .03
CHZ     CHESSER RESOURCES LIMITED         FPO                   52,384         449,565,832         .01
CI1     CREDIT INTELLIGENCE LTD           FPO                   29,411       1,235,051,278         .00
CIA     CHAMPION IRON LIMITED             FPO                  133,151         489,273,197         .02
CIE     CONTANGO INCOME GENERATOR  LIMITE FPO                   23,880         125,529,319         .01
CIM     CIMIC GROUP LIMITED               FPO                   86,977         311,296,286         .02
CIP     CENTURIA INDUSTRIAL REIT          ORD UNIT             135,218         550,679,760         .02
CKF     COLLINS FOODS LIMITED             FPO                   20,231         116,581,244         .01
CL1     CLASS LIMITED                     FPO                      310         123,758,834         .00
CLV     CLOVER CORPORATION LIMITED        FPO                   18,294         166,310,104         .01
CLW     CHARTER HALL LONG WALE REIT       STAPLED              600,790         571,402,774         .10
CM8     CROWD MEDIA HOLDINGS LIMITED      FPO                   35,029         516,624,996         .00
CMM     CAPRICORN METALS LTD              FPO                  167,370         343,974,807         .04
CMW     CROMWELL PROPERTY GROUP           STAPLED              618,083       2,617,470,675         .02
CNI     CENTURIA CAPITAL GROUP            STAPLED              105,108         600,236,123         .01
CNJ     CONICO LTD                        FPO                   17,348         756,435,041         .00
CNU     CHORUS LIMITED                    FPO NZX               64,426         447,024,884         .01
COB     COBALT BLUE HOLDINGS LIMITED      FPO                   14,681         243,221,847         .00
COE     COOPER ENERGY LIMITED             FPO                  161,152       1,631,026,105         .01
COF     CENTURIA OFFICE REIT              ORD UNIT              18,532         514,522,807         .00
COH     COCHLEAR LIMITED                  FPO                   21,754          65,741,777         .03
COI     COMET RIDGE LIMITED               FPO                   94,227         791,211,719         .01
COL     COLES GROUP LIMITED.              FPO                  237,836       1,333,929,696         .01
CPH     CRESO PHARMA LIMITED              FPO                1,430,422         705,018,417         .20
CPU     COMPUTERSHARE LIMITED.            FPO                  273,956         540,879,593         .05
CQE     CHARTER HALL SOCIAL INFRASTRUCTUR UNIT                  37,614         361,255,506         .01
CQR     CHARTER HALL RETAIL REIT          UNIT                 165,561         570,944,990         .02
CRED    BETASHARES AUSTRALIAN INVESTMENT  ETF UNITS              1,446          16,651,737         .00
CRN     CORONADO GLOBAL RESOURCES INC.    CDI FORUS            211,190       1,383,878,900         .01
CRO     CIRRALTO LIMITED                  FPO                  735,341       1,696,393,588         .04
CSE     COPPER STRIKE LIMITED             FPO                    4,790         106,844,810         .00
CSL     CSL LIMITED                       FPO                   75,623         454,974,366         .01
CSR     CSR LIMITED                       FPO                  152,685         485,382,776         .03
CSS     CLEAN SEAS SEAFOOD LIMITED        FPO                   31,033         113,690,715         .02
CSX     CLEANSPACE HOLDINGS LIMITED       FPO                    1,821          77,019,523         .00
CTD     CORPORATE TRAVEL MANAGEMENT LIMIT FPO                   27,661         136,425,516         .02
CTM     CENTAURUS METALS LIMITED          FPO                    3,000         325,987,160         .00
CTT     CETTIRE LIMITED                   FPO                    1,027         381,238,220         .00
CUV     CLINUVEL PHARMACEUTICALS LIMITED  FPO                   19,566          49,410,338         .04
CVN     CARNARVON PETROLEUM LIMITED       FPO                   41,652       1,565,379,917         .00
CWN     CROWN RESORTS LIMITED             FPO                  148,120         677,158,271         .02
CWP     CEDAR WOODS PROPERTIES LIMITED    FPO                    7,826          80,743,294         .01
CWX     CARAWINE RESOURCES LIMITED        FPO                   22,794         108,889,902         .02
CWY     CLEANAWAY WASTE MANAGEMENT LIMITE FPO                1,106,793       2,057,854,704         .05
CXO     CORE LITHIUM LTD                  FPO                  247,804         999,430,321         .02
CYL     CATALYST METALS LIMITED           FPO                    1,090          91,971,126         .00
CYM     CYPRIUM METALS LIMITED            FPO                      318          98,569,214         .00
CYP     CYNATA THERAPEUTICS LIMITED       FPO                    2,543         138,564,299         .00
DBI     DALRYMPLE BAY INFRASTRUCTURE LIMI STAPLED              129,669         500,277,934         .02
DCG     DECMIL GROUP LIMITED              FPO                   38,900         128,737,597         .03
DCN     DACIAN GOLD LIMITED               FPO                  765,585         556,508,554         .13
DDR     DICKER DATA LIMITED               FPO                    3,765         172,134,046         .00
DEG     DE GREY MINING LIMITED            FPO                  115,148       1,278,415,061         .00
DEV     DEVEX RESOURCES LIMITED           FPO                  137,880         282,653,840         .04
DGO     DGO GOLD LIMITED                  FPO                    1,132          73,551,748         .00
DHG     DOMAIN HOLDINGS AUSTRALIA LIMITED FPO                  112,228         584,263,689         .01
DJRE    SPDR DOW JONES GLOBAL REAL ESTATE ETF UNITS              3,778          18,164,007         .02
DJW     DJERRIWARRH INVESTMENTS LIMITED   FPO                    1,366         224,762,498         .00
DMP     DOMINO'S PIZZA ENTERPRISES LIMITE FPO                   17,108          86,523,365         .02
DNK     DANAKALI LIMITED                  FPO                   31,868         318,741,306         .01
DOW     DOWNER EDI LIMITED                FPO                  307,999         701,292,354         .04
DRR     DETERRA ROYALTIES LIMITED         FPO                  243,234         528,462,101         .04
DTC     DAMSTRA HOLDINGS LIMITED          FPO                   34,106         186,813,130         .01
DTL     DATA#3 LIMITED                    FPO                   16,025         153,974,950         .01
DUB     DUBBER CORPORATION LIMITED        FPO                   15,903         255,365,715         .00
DXS     DEXUS                             STAPLED              556,374       1,089,055,137         .05
DYL     DEEP YELLOW LIMITED               FPO                   92,654         245,483,379         .03
E200    SPDR S&P/ASX 200 ESG FUND         ETF UNITS                 84             850,109         .01
E25     ELEMENT 25 LIMITED                FPO                   14,443         132,634,774         .01
E2M     E2 METALS LIMITED                 FPO                    3,881         149,658,406         .00
EBO     EBOS GROUP LIMITED                FPO NZ                    17         164,134,077         .00
ECS     ECS BOTANICS HOLDINGS LTD         FPO                  180,179         447,822,664         .04
ECX     ECLIPX GROUP LIMITED              FPO                   27,502         319,636,693         .00
EGG     ENERO GROUP LIMITED               FPO                    4,206          86,655,518         .00
EHE     ESTIA HEALTH LIMITED              FPO                    4,619         261,294,969         .00
EHL     EMECO HOLDINGS LIMITED            FPO                  196,179         544,055,134         .03
ELD     ELDERS LIMITED                    FPO                  219,894         156,353,652         .14
ELO     ELMO SOFTWARE LIMITED             FPO                    1,923          89,221,831         .00
ELS     ELSIGHT LIMITED                   FPO                   17,433         133,341,582         .01
EMH     EUROPEAN METALS HOLDINGS LIMITED  CDI 1:1                2,000         117,348,097         .00
EML     EML PAYMENTS LIMITED              FPO                  437,465         361,803,890         .12
EMV     EMVISION MEDICAL DEVICES LTD      FPO                    2,174          70,762,860         .00
ENN     ELANOR INVESTORS GROUP            STAPLED                  677         120,974,515         .00
EOF     ECOFIBRE LIMITED                  FPO                    8,039         147,462,117         .00
EOS     ELECTRO OPTIC SYSTEMS HOLDINGS LI FPO                   36,010         149,579,229         .02
ERA     ENERGY RESOURCES OF AUSTRALIA LIM FPO 'A'                2,899       3,691,383,198         .00
ERD     EROAD LIMITED                     FPO NZX                5,628          81,896,340         .00
ESGI    VANECK VECTORS MSCI INTERNATIONAL ETF UNITS              2,427           1,901,779         .12
ESR     ESTRELLA RESOURCES LIMITED        FPO                  198,132         899,512,241         .02
ETHI    BETASHARES GLOBAL SUSTAINABILITY  ETF UNITS              1,417          98,847,467         .00
EVN     EVOLUTION MINING LIMITED          FPO                  869,165       1,708,667,085         .05
EVO     EVOLVE EDUCATION GROUP LIMITED    FPO NZX                  274         139,825,639         .00
EVS     ENVIROSUITE LIMITED               FPO                  117,862       1,026,143,906         .01
EVT     EVENT HOSPITALITY AND ENTERTAINME FPO                    1,685         161,195,521         .00
EXL     ELIXINOL GLOBAL LIMITED           FPO                  276,765         313,360,227         .08
EXR     ELIXIR ENERGY LIMITED             FPO                      980         749,995,405         .00
FBR     FBR LTD                           FPO                       63       2,179,170,092         .00
FBU     FLETCHER BUILDING LIMITED         FPO NZX              105,879         824,256,416         .01
FCL     FINEOS CORPORATION HOLDINGS PLC   CDI 1:1                  846         301,632,559         .00
FEMX    FIDELITY GLOBAL EMERGING MARKETS  TMF UNITS             59,494          26,156,739         .22
FEX     FENIX RESOURCES LTD               FPO                  121,464         432,913,920         .02
FFG     FATFISH GROUP LIMITED             FPO                  194,320         928,643,554         .02
FFX     FIREFINCH LIMITED                 FPO                  161,603         781,907,251         .02
FGG     FUTURE GENERATION GLOBAL INVESTME FPO                    3,500         392,947,106         .00
FGR     FIRST GRAPHENE LIMITED            FPO                   32,166         526,068,985         .00
FID     FIDUCIAN GROUP LIMITED            FPO                      730          31,442,623         .00
FLC     FLUENCE CORPORATION LIMITED       FPO                       83         624,854,034         .00
FLOT    VANECK VECTORS AUSTRALIAN FLOATIN ETF UNITS                583          11,262,745         .00
FLT     FLIGHT CENTRE TRAVEL GROUP LIMITE FPO                  289,469         199,177,744         .14
FMG     FORTESCUE METALS GROUP LTD        FPO                  713,936       3,078,964,918         .02
FPH     FISHER & PAYKEL HEALTHCARE CORPOR FPO NZX               44,223         576,311,083         .00
FRI     FINBAR GROUP LIMITED              FPO                   31,220         272,123,142         .01
FZO     FAMILY ZONE CYBER SAFETY LIMITED  FPO                    9,134         385,395,354         .00
G1A     GALENA MINING LIMITED             FPO                   93,700         461,855,353         .02
GCY     GASCOYNE RESOURCES LIMITED        FPO                    6,184         250,858,128         .00
GDF     GARDA PROPERTY GROUP              STAPLED                  685         227,644,361         .00
GDI     GDI PROPERTY GROUP                STAPLED               24,300         542,030,027         .00
GDX     VANECK VECTORS GOLD MINERS ETF    ETF UNITS                636           7,633,071         .00
GEM     G8 EDUCATION LIMITED              FPO                  160,943         847,390,315         .01
GEV     GLOBAL ENERGY VENTURES LIMITED    FPO                   25,000         386,978,223         .00
GGG     GREENLAND MINERALS LIMITED        FPO                   67,594       1,339,071,546         .00
GMA     GENWORTH MORTGAGE INSURANCE AUSTR FPO                   41,238         412,514,184         .01
GMD     GENESIS MINERALS LIMITED          FPO                  280,217       1,943,004,643         .01
GMG     GOODMAN GROUP                     STAPLED              565,826       1,847,429,255         .03
GNC     GRAINCORP LIMITED                 FPO                  151,237         228,855,628         .06
GNE     GENESIS ENERGY LIMITED            FPO NZX                2,978       1,043,568,651         .00
GNX     GENEX POWER LIMITED               FPO                   31,369         511,505,999         .00
GOR     GOLD ROAD RESOURCES LIMITED       FPO                  489,038         879,924,748         .05
GOZ     GROWTHPOINT PROPERTIES AUSTRALIA  STAPLED              109,211         772,195,170         .01
GPT     GPT GROUP                         STAPLED            1,138,696       1,947,929,316         .05
GRR     GRANGE RESOURCES LIMITED.         FPO                   56,033       1,157,338,698         .00
GSS     GENETIC SIGNATURES LIMITED        FPO                       15         142,874,746         .00
GUD     G.U.D. HOLDINGS LIMITED           FPO                    7,392          93,697,294         .00
GWA     GWA GROUP LIMITED.                FPO                  147,314         264,195,869         .05
GXY     GALAXY RESOURCES LIMITED          FPO                  338,896         504,063,884         .06
HACK    BETASHARES GLOBAL CYBERSECURITY E ETF UNITS             71,750          42,176,469         .17
HAS     HASTINGS TECHNOLOGY METALS LTD    FPO                  169,594       1,204,312,093         .01
HCT     HOLISTA COLLTECH LIMITED          FPO                  292,435         275,349,087         .10
HDN     HOMECO DAILY NEEDS REIT           UNITS                 17,236         482,913,263         .00
HFR     HIGHFIELD RESOURCES LIMITED       FPO                    4,334         329,600,171         .00
HLO     HELLOWORLD TRAVEL LIMITED         FPO                   17,374         155,027,845         .01
HLS     HEALIUS LIMITED                   FPO                   67,386         623,008,113         .01
HMC     HOME CONSORTIUM                   STAPLED                1,261         290,121,283         .00
HPI     HOTEL PROPERTY INVESTMENTS        STAPLED               10,805         173,545,259         .00
HSN     HANSEN TECHNOLOGIES LIMITED       FPO                    6,101         198,802,764         .00
HT1     HT&E LIMITED                      FPO                   17,430         278,246,349         .00
HT8     HARRIS TECHNOLOGY GROUP LIMITED   FPO                   15,000         254,995,481         .00
HUB     HUB24 LIMITED                     FPO                   15,191          66,954,435         .02
HUM     HUMM GROUP LIMITED                FPO                  251,461         495,268,318         .05
HUO     HUON AQUACULTURE GROUP LIMITED    FPO                    1,973         109,872,959         .00
HVN     HARVEY NORMAN HOLDINGS LIMITED    FPO                1,028,401       1,246,006,654         .08
HWH     HOUSTON WE HAVE LIMITED           FPO                  146,000         261,757,713         .05
IAF     ISHARES CORE COMPOSITE BOND ETF   ETF UNITS             23,575          14,146,232         .16
IAG     INSURANCE AUSTRALIA GROUP LIMITED FPO                1,242,595       2,465,100,206         .05
IAP     IRONGATE GROUP                    STAPLED              113,621         611,298,084         .01
ICQ     ICAR ASIA LIMITED                 FPO                    9,934         435,697,827         .00
IDX     INTEGRAL DIAGNOSTICS LIMITED      FPO                    6,790         198,545,113         .00
IEL     IDP EDUCATION LIMITED             FPO                   22,608         278,336,211         .00
IEM     ISHARES MSCI EMERGING MARKETS ETF ETF UNITS             46,150          12,752,939         .36
IEU     ISHARES EUROPE ETF                ETF UNITS              2,173           8,699,847         .02
IFL     IOOF HOLDINGS LIMITED             FPO                  295,130         649,324,356         .04
IFM     INFOMEDIA LTD                     FPO                    8,183         375,217,384         .00
IGB     ISHARES TREASURY ETF              ETF UNITS                202             970,018         .02
IGL     IVE GROUP LIMITED                 FPO                   15,941         148,207,285         .01
IGO     IGO LIMITED                       FPO                  624,994         744,952,314         .08
IHCB    ISHARES CORE GLOBAL CORPORATE BON ETF UNITS              1,384           2,782,332         .05
IHVV    ISHARES S&P 500 AUD HEDGED ETF    ETF UNITS              3,535           1,685,243         .21
IHWL    ISHARES CORE MSCI WORLD ALL CAP ( ETF UNITS             24,204           6,161,140         .39
IIND    BETASHARES INDIA QUALITY ETF.     ETF UNITS              4,820           3,960,015         .12
IJH     ISHARES S&P MID-CAP ETF           ETF UNITS                 20             504,699         .00
IJR     ISHARES S&P SMALL-CAP ETF         ETF UNITS              3,512           1,861,968         .18
ILB     ISHARES GOVERNMENT INFLATION ETF  ETF UNITS              1,029           1,888,668         .05
ILU     ILUKA RESOURCES LIMITED           FPO                  286,218         422,769,681         .06
IMA     IMAGE RESOURCES NL                FPO                   94,291         992,139,693         .01
IMD     IMDEX LIMITED                     FPO                   23,276         396,452,400         .00
IMM     IMMUTEP LIMITED                   FPO                    9,420         648,725,286         .00
IMPQ    EINVEST FUTURE IMPACT SMALL CAPS  TMF UNITS                 18             788,533         .00
IMU     IMUGENE LIMITED                   FPO                  657,177       4,740,920,126         .01
INA     INGENIA COMMUNITIES GROUP         STAPLED               76,688         326,651,610         .02
ING     INGHAMS GROUP LIMITED             FPO                  134,201         371,679,601         .03
INR     IONEER LTD                        FPO                  197,646       1,685,898,867         .01
IOO     ISHARES GLOBAL 100 ETF            ETF UNITS                238          23,913,798         .00
IOZ     ISHARES CORE S&P/ASX 200 ETF      ETF UNITS             70,813         135,743,008         .05
IP1     INTEGRATED PAYMENT TECHNOLOGIES L FPO                   24,945         573,260,447         .00
IPH     IPH LIMITED                       FPO                  133,081         216,235,113         .06
IPL     INCITEC PIVOT LIMITED             FPO                1,333,057       1,942,225,029         .06
IRE     IRESS LIMITED                     FPO                   85,639         193,326,463         .04
IRI     INTEGRATED RESEARCH LIMITED       FPO                   68,767         172,174,753         .04
ISD     ISENTIA GROUP LIMITED             FPO                    8,762         200,000,001         .00
ISEC    ISHARES ENHANCED CASH ETF         ETF UNITS              2,593           2,030,777         .12
ISU     ISELECT LIMITED.                  FPO                    4,124         217,861,393         .00
IVC     INVOCARE LIMITED                  FPO                   44,586         144,060,733         .03
IVR     INVESTIGATOR RESOURCES LTD        FPO                   20,000       1,298,096,345         .00
IVV     ISHARES S&P 500 ETF               ETF UNITS                613           7,358,918         .00
IXJ     ISHARES GLOBAL HEALTHCARE ETF     ETF UNITS                 92           8,097,415         .00
